year,time_in,time_out,pair,direction,status,lot,entry,exit,sl,tp,pnl,balance
2022,2022-04-05 07:30:00,2022-04-05 08:30:00,AUDUSD,LONG,TP,0.07,0.75954,0.76101,0.75807,0.76101,10.26,1019.24
2022,2022-05-11 15:30:00,2022-05-11 16:00:00,AUDUSD,SHORT,SL,0.04,0.69458,0.69688,0.69688,0.69228,-9.22,1010.03
2022,2022-05-11 15:30:00,2022-05-11 15:45:00,NZDUSD,SHORT,TP,0.06,0.6297,0.62808,0.63132,0.62808,9.71,1019.74
2022,2022-06-02 09:30:00,2022-06-02 11:15:00,USDCHF,SHORT,SL,0.07,0.9585,0.95996,0.95996,0.95704,-10.66,1009.08
2022,2022-07-05 10:00:00,2022-07-05 10:15:00,EURUSD,SHORT,TP,0.06,1.04015,1.03852,1.04178,1.03852,9.81,1018.89
2022,2022-08-05 15:30:00,2022-08-05 15:45:00,GBPUSD,SHORT,TP,0.03,1.2064,1.20339,1.20941,1.20339,9.03,1027.92
2022,2022-08-05 15:30:00,2022-08-05 16:15:00,EURUSD,SHORT,TP,0.04,1.01721,1.01492,1.0195,1.01492,9.15,1037.07
2022,2022-08-05 15:30:00,2022-08-05 15:45:00,NZDUSD,SHORT,TP,0.06,0.6239,0.62215,0.62565,0.62215,10.52,1047.58
2022,2022-08-05 15:30:00,2022-08-05 15:45:00,AUDUSD,SHORT,TP,0.06,0.69025,0.68851,0.69199,0.68851,10.44,1058.02
2022,2022-08-10 15:30:00,2022-08-11 01:45:00,USDCHF,SHORT,Timeout(-),0.04,0.94118,0.94211,0.94387,0.93849,-3.95,1054.07
2022,2022-08-10 15:30:00,2022-08-10 17:00:00,USDCAD,SHORT,TP,0.07,1.28292,1.28093,1.28491,1.28093,10.85,1064.93
2022,2022-08-10 15:30:00,2022-08-10 16:00:00,USDJPY,SHORT,SL,0.03,132.77,133.30071,133.30071,132.23929,-11.94,1052.98
2022,2022-09-13 15:30:00,2022-09-13 16:00:00,EURUSD,SHORT,TP,0.03,1.00492,1.00152,1.00832,1.00152,10.2,1063.18
2022,2022-09-13 15:30:00,2022-09-13 16:00:00,NZDUSD,SHORT,TP,0.05,0.60652,0.60426,0.60878,0.60426,11.31,1074.5
2022,2022-09-13 15:30:00,2022-09-13 16:00:00,AUDUSD,SHORT,TP,0.04,0.68159,0.67912,0.68406,0.67912,9.88,1084.38
2022,2022-11-10 15:30:00,2022-11-10 16:15:00,USDJPY,SHORT,TP,0.03,143.717,143.14657,144.28743,143.14657,11.95,1096.33
2022,2022-11-10 15:30:00,2022-11-10 16:15:00,USDCHF,SHORT,TP,0.03,0.97574,0.97229,0.97919,0.97229,10.64,1106.97
2022,2022-11-10 15:30:00,2022-11-10 16:45:00,USDCAD,SHORT,TP,0.03,1.34045,1.33592,1.34498,1.33592,10.17,1117.14
2022,2022-12-13 15:30:00,2022-12-14 01:15:00,USDJPY,SHORT,SL,0.03,135.115,135.66057,135.66057,134.56943,-12.06,1105.07
2022,2022-12-13 15:30:00,2022-12-13 16:00:00,USDCHF,SHORT,TP,0.04,0.92656,0.92396,0.92916,0.92396,11.24,1116.31
2023,2023-01-03 10:00:00,2023-01-03 10:15:00,USDCHF,LONG,TP,0.05,0.93145,0.93342,0.92948,0.93342,10.57,1126.88
2023,2023-01-03 10:15:00,2023-01-03 11:00:00,USDCHF,LONG,TP,0.04,0.9342,0.93662,0.93178,0.93662,10.33,1137.21
2023,2023-01-03 11:00:00,2023-01-03 16:30:00,USDCHF,LONG,SL,0.03,0.93742,0.93431,0.93431,0.94053,-9.99,1127.22
2023,2023-01-18 09:30:00,2023-01-18 10:15:00,EURUSD,LONG,TP,0.06,1.08263,1.0844,1.08086,1.0844,10.6,1137.82
2023,2023-02-03 15:30:00,2023-02-03 16:15:00,USDCHF,LONG,TP,0.05,0.92154,0.92365,0.91943,0.92365,11.44,1149.26
2023,2023-02-03 15:30:00,2023-02-03 16:15:00,USDJPY,LONG,TP,0.04,129.961,130.32329,129.59871,130.32329,11.12,1160.38
2023,2023-02-03 15:45:00,2023-02-03 17:00:00,USDCHF,LONG,TP,0.05,0.92302,0.92533,0.92071,0.92533,12.51,1172.89
